Company Name,Job Title,Location,job_category,salary_in_inr
QuantZig,Data Scientist,Bangalore,Data Scientist,1138060.0
Baker Hughes,Data Scientist,Bangalore,Data Scientist,1612744.0
Everlytics,Data Scientist,Bangalore,Data Scientist,432776.0
Siemens,Data Scientist,Bangalore,Data Scientist,987471.0
ANZ Bank,Data Scientist,Bangalore,Data Scientist,1512297.0
Lowe's Home Improvement,Data Scientist,Bangalore,Data Scientist,1752935.0
Nones,Data Scientist,Bangalore,Data Scientist,1197944.0
Bristlecone,Data Scientist,Bangalore,Data Scientist,923544.0
Altimetrik,Data Scientist,Bangalore,Data Scientist,587146.0
Head Digital Works,Data Scientist,Bangalore,Data Scientist,977543.0
Artivatic Data Labs,Data Scientist,Bangalore,Data Scientist,649755.0
HDFC Standard Life Insurance,Data Scientist,Bangalore,Data Scientist,1177531.0
AntWorks,Data Scientist,Bangalore,Data Scientist,1194925.0
American Express,Data Scientist,Bangalore,Data Scientist,1693208.0
ITC Infotech,Data Scientist,Bangalore,Data Scientist,414817.0
Aidetic,Data Scientist,Bangalore,Data Scientist,704193.0
NeenOpal,Data Scientist,Bangalore,Data Scientist,590000.0
Knowledge Foundry,Data Scientist,Bangalore,Data Scientist,1119069.0
Mindtree,Data Scientist,Bangalore,Data Scientist,669225.0
Nones,Data Scientist,Bangalore,Data Scientist,1013978.0
TVS Motor Company,Data Scientist,Bangalore,Data Scientist,1252803.0
XYZ,Data Scientist,Bangalore,Data Scientist,840000.0
ShieldSquare,Data Scientist,Bangalore,Data Scientist,761610.0
Tech Data,Data Scientist,Bangalore,Data Scientist,1200000.0
Publicis Sapient,Data Scientist,Bangalore,Data Scientist,1670405.0
Hinduja Global Solutions,Data Scientist,Bangalore,Data Scientist,1284643.0
GE Digital,Data Scientist,Bangalore,Data Scientist,1653106.0
GlobusSoft,Data Scientist,Bangalore,Data Scientist,385393.0
MakeMyTrip,Data Scientist,Bangalore,Data Scientist,1200000.0
Artificial Learning Systems,Data Scientist,Bangalore,Data Scientist,1124740.0
Dailyhunt,Data Scientist,Bangalore,Data Scientist,2600000.0
Draup,Data Scientist,Bangalore,Data Scientist,1859109.0
SwitchOn,Data Scientist,Bangalore,Data Scientist,669785.0
PwC,Data Scientist,Bangalore,Data Scientist,1205874.0
Innodatatics,Data Scientist,Bangalore,Data Scientist,128460.0
Robert Bosch,Data Scientist,Bangalore,Data Scientist,1180355.0
ExxonMobil,Data Scientist,Bangalore,Data Scientist,2873437.0
Bidgely,Data Scientist,Bangalore,Data Scientist,1438481.0
IQVIA,Data Scientist,Bangalore,Data Scientist,899123.0
ShareChat,Data Scientist,Bangalore,Data Scientist,2300000.0
Course5 Intelligence,Data Scientist,Bangalore,Data Scientist,825077.0
MAERSK,Data Scientist,Bangalore,Data Scientist,2207174.0
Caterpillar,Data Scientist,Bangalore,Data Scientist,1526335.0
Bepec Solutions,Data Scientist,Bangalore,Data Scientist,600000.0
NetApp,Data Scientist,Bangalore,Data Scientist,2875549.0
Exposys Data Labs,Data Scientist,Bangalore,Data Scientist,433440.0
Spoonshot,Data Scientist,Bangalore,Data Scientist,1615535.0
InMobi,Data Scientist,Bangalore,Data Scientist,1700000.0
Swiss Re,Data Scientist,Bangalore,Data Scientist,1352802.0
TheMathCompany,Data Scientist,Bangalore,Data Scientist,600000.0
Shell,Data Scientist,Bangalore,Data Scientist,2148775.0
Flip Robo,Data Scientist,Bangalore,Data Scientist,306972.0
HCL,Data Scientist,Bangalore,Data Scientist,347924.0
upGrad,Data Scientist,Bangalore,Data Scientist,1284643.0
Legato Health Technologies,Data Scientist,Bangalore,Data Scientist,1200000.0
Terra Economics and Analytics Lab,Data Scientist,Bangalore,Data Scientist,720000.0
HDFC Bank,Data Scientist,Bangalore,Data Scientist,1105385.0
Halodoc,Data Scientist,Bangalore,Data Scientist,1879205.0
Analytical Wizards,Data Scientist,Bangalore,Data Scientist,600000.0
PayPal,Data Scientist,Bangalore,Data Scientist,273000.0
GE,Data Scientist,Bangalore,Data Scientist,1007628.0
Manthan,Data Scientist,Bangalore,Data Scientist,1254416.0
Visa Inc.,Data Scientist,Bangalore,Data Scientist,324000.0
Tech Mahindra,Data Scientist,Bangalore,Data Scientist,1500000.0
Data Semantics,Data Scientist,Bangalore,Data Scientist,362209.0
GE Aviation,Data Scientist,Bangalore,Data Scientist,1349689.0
Landmark Group,Data Scientist,Bangalore,Data Scientist,1605804.0
Neustar,Data Scientist,Bangalore,Data Scientist,1923665.0
Axis Bank,Data Scientist,Bangalore,Data Scientist,1171687.0
Comviva,Data Scientist,Bangalore,Data Scientist,900000.0
iQuanti,Data Scientist,Bangalore,Data Scientist,2046452.0
Mercedes-Benz International,Data Scientist,Bangalore,Data Scientist,1118808.0
Zoom Video Communications,Data Scientist,Bangalore,Data Scientist,2839076.0
Money View,Data Scientist,Bangalore,Data Scientist,1438576.0
nference,Data Scientist,Bangalore,Data Scientist,1930235.0
KrazyBee,Data Scientist,Bangalore,Data Scientist,1149607.0
